Year,Month,Date,Primary_School,High_School,Associates_Degree,Professional_Degree,White,Black,Asian,Hispanic,Men,Women
2010,Jan,Jan-10,15.3,10.2,8.6,4.9,8.8,16.5,8.3,12.9,10.2,7.9
2011,Jan,Jan-11,14.3,9.5,8.1,4.3,8.1,15.8,6.8,12.3,9,7.9
2012,Jan,Jan-12,13,8.5,7.1,4.3,7.4,13.6,6.7,10.7,7.7,7.6
2013,Jan,Jan-13,12,8.1,6.9,3.8,7.1,13.7,6.4,9.7,7.5,7.2
2014,Jan,Jan-14,9.4,6.5,5.9,3.3,5.7,12.1,4.7,8.3,6.2,5.8
2015,Jan,Jan-15,8.3,5.4,5.2,2.8,4.9,10.3,4,6.7,5.3,5
2016,Jan,Jan-16,7.1,5.2,4.2,2.5,4.2,8.7,3.6,5.8,4.4,4.5
2017,Jan,Jan-17,7.4,5.2,3.8,2.5,4.2,7.5,3.7,5.8,4.3,4.4
2018,Jan,Jan-18,5.4,4.4,3.4,2.1,3.5,7.5,3,5,3.8,3.6
2019,Jan,Jan-19,5.7,3.7,3.4,2.4,3.5,6.8,3.1,4.8,3.7,3.6
2020,Jan,Jan-20,5.5,3.8,2.8,2,3.1,6,3,4.3,3.3,3.2
2010,Feb,Feb-10,15.8,10.7,8.1,4.9,8.9,16.1,8.2,12.7,10.3,8
2011,Feb,Feb-11,14,9.7,7.9,4.3,8.1,15.5,6.7,11.8,8.9,7.9
2012,Feb,Feb-12,13.1,8.3,7.2,4.2,7.4,14,6.2,10.9,7.7,7.6
2013,Feb,Feb-13,11.3,7.9,6.5,3.9,6.8,13.8,6,9.7,7,7
2014,Feb,Feb-14,9.8,6.4,6,3.4,5.8,11.8,5.9,8.2,6.3,5.9
2015,Feb,Feb-15,8.2,5.4,5,2.7,4.7,10.1,4,6.8,5.2,4.9
2016,Feb,Feb-16,7,5.2,4.2,2.5,4.3,8.5,3.8,5.4,4.5,4.5
2017,Feb,Feb-17,7.7,4.9,4,2.4,4,7.9,3.4,5.5,4.3,4.2
2018,Feb,Feb-18,5.7,4.4,3.5,2.2,3.7,6.7,2.9,4.9,3.7,3.8
2019,Feb,Feb-19,5.3,3.7,3.1,2.2,3.3,6.9,3.1,4.3,3.5,3.4
2020,Feb,Feb-20,5.7,3.6,3,1.9,3.1,5.8,2.5,4.4,3.3,3.1
2010,Mar,Mar-10,14.9,11,8.4,4.9,8.9,16.8,7.6,12.9,10.2,8.1
2011,Mar,Mar-11,14.1,9.7,7.5,4.4,8,15.8,7.3,11.6,8.8,7.8
